epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.669,1.30108,3.03341,1.25389,0.90685,0.7595,0.85427,0.55848,1.20945,2.19774,1.18543,0.00066383,0.00066383,0.00066383
2,302.614,1.36367,2.33882,1.25486,0.77347,0.77492,0.78463,0.4934,1.26313,2.20066,1.22575,0.00130415,0.00130415,0.00130415
3,461.129,1.37958,2.11102,1.25996,0.82833,0.7305,0.80705,0.51347,1.31162,2.05817,1.26621,0.00191808,0.00191808,0.00191808
4,619.302,1.3889,1.81217,1.32134,0.81854,0.76782,0.83909,0.5062,1.25929,1.88928,1.21359,0.0018812,0.0018812,0.0018812
5,776.156,1.3569,1.62858,1.30385,0.7522,0.81808,0.79769,0.48191,1.29043,1.58415,1.26663,0.0018416,0.0018416,0.0018416
6,934.075,1.34505,1.64831,1.28308,0.80983,0.74468,0.80767,0.457,1.34667,1.54724,1.3242,0.001802,0.001802,0.001802
7,1090.63,1.3483,1.49395,1.26739,0.82573,0.77305,0.84878,0.56312,1.19334,1.28625,1.18784,0.0017624,0.0017624,0.0017624
8,1245.9,1.30261,1.36622,1.2871,0.90205,0.78014,0.88274,0.5419,1.26585,1.18092,1.2327,0.0017228,0.0017228,0.0017228
9,1401.96,1.26915,1.28548,1.25805,0.89356,0.83688,0.88783,0.54892,1.20302,1.05711,1.19189,0.0016832,0.0016832,0.0016832
10,1558.1,1.34508,1.22793,1.29064,0.88708,0.83575,0.90451,0.58809,1.21429,1.10047,1.19666,0.0016436,0.0016436,0.0016436
11,1721.95,1.28311,1.22193,1.24339,0.9367,0.89362,0.928,0.60339,1.23699,0.9432,1.20328,0.001604,0.001604,0.001604
12,1887.3,1.27765,1.17273,1.28149,0.94443,0.84375,0.91862,0.59046,1.26246,0.93358,1.20949,0.0015644,0.0015644,0.0015644
13,2056.58,1.30338,1.11999,1.23356,0.93356,0.89691,0.92361,0.62127,1.13553,0.86332,1.17419,0.0015248,0.0015248,0.0015248
14,2227.56,1.2461,1.1,1.23696,0.8935,0.85816,0.92233,0.58893,1.16389,0.91626,1.15618,0.0014852,0.0014852,0.0014852
15,2384.96,1.2161,1.0275,1.17986,0.9101,0.86162,0.91122,0.59777,1.20808,0.85393,1.19437,0.0014456,0.0014456,0.0014456
16,2542.09,1.22194,0.97779,1.18403,0.93432,0.8156,0.90025,0.57617,1.18533,0.87618,1.18717,0.001406,0.001406,0.001406
17,2698.4,1.21737,0.97911,1.21173,0.96282,0.82979,0.91864,0.61556,1.1471,0.89584,1.1445,0.0013664,0.0013664,0.0013664
18,2854.35,1.18552,1.02503,1.17952,0.94023,0.85106,0.92088,0.61294,1.18419,0.82702,1.15813,0.0013268,0.0013268,0.0013268
19,3011.15,1.17381,0.96093,1.15259,0.89918,0.85106,0.92153,0.60843,1.19235,0.84288,1.16658,0.0012872,0.0012872,0.0012872
20,3168.57,1.17502,0.98017,1.18325,0.89176,0.87234,0.91958,0.61158,1.15632,0.79921,1.14628,0.0012476,0.0012476,0.0012476
21,3326.29,1.19726,0.9125,1.19573,0.96,0.8156,0.93001,0.63497,1.13328,0.76965,1.13312,0.001208,0.001208,0.001208
22,3485.02,1.24214,0.96212,1.19976,0.9107,0.86792,0.92126,0.61332,1.09767,0.79734,1.12895,0.0011684,0.0011684,0.0011684
23,3644.83,1.16065,0.9169,1.17766,0.96799,0.858,0.94118,0.62147,1.12627,0.76998,1.12331,0.0011288,0.0011288,0.0011288
24,3803.6,1.12772,0.86598,1.1533,0.92936,0.93309,0.95335,0.64009,1.1379,0.69819,1.12102,0.0010892,0.0010892,0.0010892
25,3961.71,1.06709,0.78622,1.09314,0.9318,0.92908,0.96311,0.65687,1.11423,0.65976,1.10955,0.0010496,0.0010496,0.0010496
26,4121.43,1.11481,0.79306,1.10611,0.94587,0.8676,0.94213,0.63378,1.17524,0.70535,1.14497,0.00101,0.00101,0.00101
27,4281.73,1.15118,0.8025,1.12191,0.86663,0.90071,0.92257,0.59449,1.2639,0.72809,1.1911,0.0009704,0.0009704,0.0009704
28,4443.3,1.12696,0.79763,1.13361,0.92556,0.85106,0.92896,0.63463,1.15157,0.76156,1.14314,0.0009308,0.0009308,0.0009308
29,4605.39,1.06465,0.79337,1.09546,0.91891,0.87943,0.93463,0.6235,1.13721,0.76467,1.14591,0.0008912,0.0008912,0.0008912
30,4767.48,1.04619,0.79831,1.09317,0.92626,0.92199,0.94454,0.64621,1.09776,0.71115,1.12286,0.0008516,0.0008516,0.0008516
31,4925.5,1.03068,0.75262,1.0821,0.95269,0.857,0.92469,0.63345,1.07819,0.73602,1.12438,0.000812,0.000812,0.000812
32,5082.64,1.0756,0.74202,1.11054,0.92001,0.9078,0.94002,0.64376,1.12054,0.68676,1.11498,0.0007724,0.0007724,0.0007724
33,5240.98,1.04269,0.73923,1.10515,0.93192,0.87381,0.93724,0.65372,1.10422,0.7037,1.10412,0.0007328,0.0007328,0.0007328
34,5400.51,1.10142,0.76467,1.1459,0.91513,0.91765,0.93863,0.64375,1.12101,0.67829,1.10655,0.0006932,0.0006932,0.0006932
35,5559.64,1.04667,0.70077,1.10021,0.89741,0.89362,0.94099,0.64745,1.13191,0.72968,1.12443,0.0006536,0.0006536,0.0006536
36,5717.09,1.01211,0.70838,1.0653,0.96241,0.92908,0.96492,0.65318,1.11497,0.63636,1.10116,0.000614,0.000614,0.000614
37,5873.97,1.03356,0.72261,1.12954,0.95521,0.90742,0.94998,0.67085,1.05164,0.63777,1.08309,0.0005744,0.0005744,0.0005744
38,6031.33,1.0479,0.69077,1.09387,0.92533,0.90071,0.95035,0.65758,1.0578,0.66766,1.08061,0.0005348,0.0005348,0.0005348
39,6188.81,1.02102,0.69554,1.0799,0.93052,0.9078,0.94946,0.67182,1.05238,0.6505,1.0895,0.0004952,0.0004952,0.0004952
40,6345.05,0.97756,0.64961,1.06539,0.9245,0.90071,0.95341,0.6784,1.06782,0.61982,1.08999,0.0004556,0.0004556,0.0004556
41,6499.98,0.97692,0.57314,1.08081,0.92198,0.92186,0.95209,0.65101,1.06799,0.62547,1.09191,0.000416,0.000416,0.000416
42,6655.55,0.94219,0.58411,1.0924,0.92126,0.91277,0.95781,0.6611,1.0889,0.62761,1.09989,0.0003764,0.0003764,0.0003764
43,6812.1,0.9283,0.55701,1.04526,0.95092,0.90071,0.96203,0.67783,1.06324,0.61398,1.09115,0.0003368,0.0003368,0.0003368
44,6967.24,0.93072,0.52212,1.05453,0.94793,0.90381,0.96168,0.67195,1.08794,0.62036,1.11028,0.0002972,0.0002972,0.0002972
45,7122.86,0.91719,0.53797,1.06178,0.94749,0.89576,0.95304,0.66148,1.09858,0.61304,1.11056,0.0002576,0.0002576,0.0002576
46,7278.23,0.88138,0.49796,1.04313,0.9206,0.9078,0.95662,0.66329,1.08316,0.60563,1.10137,0.000218,0.000218,0.000218
47,7432.7,0.88904,0.51108,1.03398,0.90279,0.92211,0.95442,0.6694,1.10049,0.59075,1.10496,0.0001784,0.0001784,0.0001784
48,7588.07,0.89861,0.50079,1.04438,0.93685,0.90071,0.95779,0.67179,1.06926,0.59379,1.09753,0.0001388,0.0001388,0.0001388
49,7746.33,0.88619,0.49391,1.03685,0.92821,0.91697,0.95297,0.67705,1.07797,0.58434,1.10736,9.92e-05,9.92e-05,9.92e-05
50,7904.83,0.87248,0.50315,1.04273,0.92897,0.90071,0.95375,0.66972,1.08252,0.57668,1.10429,5.96e-05,5.96e-05,5.96e-05
